hospital_name,hospital_type,address,insurers,rating,specialties,tier,segment
MOHAMMADIA NURSING HOME,Private,"MOHAMMADIA NURSING HOME GANGOO, Jammu and Kashmir",PMJAY,0.0,General Surgery; Gynecology,City 1,Budget/Local
HAKIM SANAULLAH SPECIALIST HOSPITAL & CANCER CENTRE,Private,"Mazbugh Road, Near Fruit Mandi, Jammu and Kashmir",PMJAY,0.0,General Surgery; Oncology; Urology,City 2,Budget/Local
INTERFERON KIDNEY CARE DIABETES AND DIALYSIS SUPER SPECIALITY CENTRE,Private,"national highway uranhall anantnag, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Budget/Local
South City Nursing Home,Private,"kp road, South, Jammu and Kashmir",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,City 1,Budget/Local
mercy kidney care diabetic and dialysis centre,Private,"MERCY, DRUSOO NEAR DPL, Jammu and Kashmir",PMJAY,0.0,Urology,City 1,Budget/Local
KAWOOSA MEDICAL FOUNDATION,Private,"UMAR ABAD NH1, Jammu and Kashmir",PMJAY,0.0,General Surgery; Urology,City 1,Budget/Local
KIDNEY CARE AND DIAGNOSTIC,Private,"HABBAK NASEEM BAGH, HABBAK NASEEM BAGH, Jammu and Kashmir",PMJAY,0.0,Urology,City 1,Budget/Local
FLORENCE HOSPITAL,Private,"MAIN ROAD CHANAPORA, Jammu and Kashmir","PMJAY,ICICI Lombard",0.0,Cardiology; Orthopedics; General Surgery; Oncology; Gynecology; Urology,City 1,Standard Private
Florence Hospital,Private,"Pancha Ratna Road, Goalpara, Assam",PMJAY,0.0,General Surgery; Gynecology,Town 1,Budget/Local
Florence Hospital,Private,"1St & 2Nd Floor Raina Synergy Behind Balaji Hero Honda Showroom Opposite Vatsalya Bunglows & Reliance School Vesu, Surat, Gujarat, 395007","Care Health,HDFC,ICICI Lombard",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Large City 1,Established
Ahmad Hospital,Private,"Gulshannagar Nowgam Byepass Srinagar, Jammu and Kashmir",PMJAY,0.0,General Surgery; Urology,City 1,Budget/Local
NORTH KASHMIR NURSING HOME,Private,"BYPASS ROAD HANDWARA, BYPASS ROAD, Jammu and Kashmir",PMJAY,0.0,General Surgery; Gynecology,City 1,Budget/Local
New City Hospital,Private,"Byepass Tangpora Srinagar, NH 44 tengpora Bye Pass, Jammu and Kashmir","PMJAY,HDFC",0.0,Orthopedics; General Surgery; Urology,City 1,Established
NEW CITY HOSPITAL,Private,"main Bhagu Road, Bathinda, STREET NO 15, Punjab",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Budget/Local
NEW CITY HOSPITAL,Private,"BEESA COLONY ROAD, BHOOR, BULANDSHAHR, Uttar Pradesh",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Budget/Local
NEW CITY HOSPITAL,Private,"Nahar Chowk Godda, Nahar Chowk Godda, Jharkhand",PMJAY,0.0,General Surgery,Town 1,Budget/Local
NEW CITY HOSPITAL,Private,"Kunware pura road, Madhya Pradesh",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Budget/Local
NEW CITY HOSPITAL,Private,"OPP.SHANIESHWARA TEMPLE, VIDYARANYA MARG, KADABETTU UDUPI, Karnataka","PMJAY,Care Health,Star Health,ICICI Lombard,Niva Bupa,Aditya Birla",0.0,Orthopedics; General Surgery; Gynecology,City 2,Established
New City Hospital,Private,"Kuwarpura Road Tikamgarh, Tikamgarh, Madhya",HDFC,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Established
lords hospital and diagnostic center,Private,"laroo bus adda, laroo bus adda, Jammu and Kashmir",PMJAY,0.0,General Surgery; Gynecology,City 1,Budget/Local
KIDNEY HOSPITAL SONWAR SRINAGAR,Private,"Sonwar Srinagar, sonwar srinagar, Jammu and Kashmir",PMJAY,0.0,General Surgery; Gynecology; Urology,City 1,Budget/Local
SKIMS MEDICAL COLLEGE AND HOSPITAL BEMINA SRINAGAR,Government,"BEMINA, Srinagar, Jammu and Kashmir",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,City 1,Government
Nowshera,Government,"Nowshera, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
GOVT. MEDICAL COLLEGE HOSPITAL JAMMU,Government,"Bakshinagar, Jammu, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
TRIVENI NURSING HOME,Private,"8-C/ C GANDHI NAGAR JAMMU, GREEN BELT PARK NEAR AQUAF MARKET, Jammu and Kashmir","PMJAY,Star Health,HDFC,Aditya Birla",0.0,General Surgery; Urology,City 1,Established
Kalakote,Government,"kalakote, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
SDH SUNDER BANI,Government,"Sunderbani, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
PSYCHIATRY DISEASE HOSPITAL,Government,"RESHAM GHAR COLONY, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Darhal,Government,"Darhal, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
